species			H	O	C	He	N	S	P	Na	K	Si	Fe  Ar 	Ti	V	Mg	Ca	e 	mass      
H2SO4           2	4	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	98.022
NS              0	0	0	0	1	1   0   0   0   0   0	0	0   0	0	0   0	46.067
S2O             0	1	0	0	0	2   0   0   0   0   0	0	0   0	0	0   0	80.12
S2O2            0	2	0	0	0	2   0   0   0   0   0	0	0   0	0	0   0	96.12
Na				0	0	0	0	0	0	0	1	0	0	0	0	0   0	0	0   0   22.99
NaO				0	1	0	0	0	0	0	1	0	0	0	0	0   0	0	0   0   38.99
NaO2			0	2	0	0	0	0	0	1	0	0	0	0	0   0	0	0   0   54.99
NaOH			1	1	0	0	0	0	0	1	0	0	0	0	0   0	0	0   0   39.998
NaH				1	0	0	0	0	0	0	1	0	0	0	0	0   0	0	0   0   23.998
Fe              0	0	0	0	0	0	0	0	0	0	1   0	0   0	0	0   0   55.845
FeO             0	1	0	0	0	0	0	0	0	0	1   0	0   0	0	0   0   71.845
FeO2            0	2	0	0	0	0	0	0	0	0	1   0	0   0	0	0   0   87.845          
Fe(OH)2         2	2	0	0	0	0	0	0	0	0	1   0	0   0	0	0   0   89.861          
K               0	0	0	0	0	0	0	0	1	0	0   0	0   0	0	0   0   39.0983
KH              1	0	0	0	0	0	0	0	1	0	0   0	0   0	0	0   0   40.106
C2H4O           4   1   2   0   0   0   0	0	0	0	0   0	0   0	0	0   0   44.053
CH4O2           4   2   1   0   0   0   0	0	0	0	0   0	0   0	0	0   0   48.041
CH5N            5   0   1   0   1   0   0	0	0	0	0   0	0   0	0	0   0   31.057
CH3NO2          3   2   1   0   1   0   0	0	0	0	0   0	0   0	0	0   0   61.040
HCOOH           2   2   1   0   0   0   0	0	0	0	0   0	0   0	0	0   0   46.026
HNO4            1   4   0   0   1   0   0	0	0	0	0   0	0   0	0	0   0   79.012
C2H5N           5   0   2   0   1   0   0	0	0	0	0   0	0   0	0	0   0   43.068 
HO2NO2          1   4   0   0   1   0   0   0   0   0   0   0	0   0	0	0   0   79.015   
H2O_l_s         2   1   0	0	0	0	0	0	0	0	0   0	0   0	0	0   0   18.016
NH3_l_s         3   0   0   0   1   0	0	0	0	0	0   0	0   0	0	0   0   16.023
H2SO4_l         2	4	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	98.022
S2_l_s          0	0	0	0	0	2   0   0   0   0   0	0	0   0	0	0   0	64.12
S8_l_s          0	0	0	0	0	8   0   0   0   0   0	0	0   0	0	0   0	256.48
C_s             0	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   12.011
Ar              0	0	0	0	0	0	0	0	0	0	0   1   0   0	0	0   0   39.948
Mg              0	0	0	0	0	0	0	0	0	0	0   0   0   0	1	0   0   24.305
Ca              0	0	0	0	0	0	0	0	0	0	0   0   0   0	0	1   0   40.078
Ti				0	0	0	0	0	0	0	0	0	0	0	0   1	0	0   0   0   47.867	
TiO				0	1	0	0	0	0	0	0	0	0	0	0   1	0	0   0   0   63.867
TiO2			0	2	0	0	0	0	0	0	0	0	0	0   1	0	0   0   0   79.867
TiH				1	0	0	0	0	0	0	0	0	0	0	0   1	0	0   0   0   48.875
TiC				0	0	1	0	0	0	0	0	0	0	0	0   1	0	0   0   0   59.878
TiC2			0	0	2	0	0	0	0	0	0	0	0	0   1	0	0   0   0   71.889
TiN				0	0	0	0	1	0	0	0	0	0	0	0   1	0	0   0   0   61.874	
V				0	0	0	0	0	0	0	0	0	0	0	0   0	1	0   0   0	50.941	
VO				0	1	0	0	0	0	0	0	0	0	0	0   0	1	0   0   0   66.941
e               0	0	0	0	0	0	0	0	0	0	0   0   0   0	0	0   1    0.001
H_p             1	0	0	0	0	0	0	0	0	0	0   0   0	0	0   0  -1    1.008
H_m             1	0	0	0	0	0	0	0	0	0	0   0   0	0	0   0   1    1.008
H2_p            2	0	0	0	0	0	0	0	0	0	0   0   0	0	0   0   -1   2.016   
H3_p            3	0	0	0	0	0	0	0	0	0	0   0   0	0	0   0   -1   3.024  
O_p				0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0	-1   16.0
O_m				0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0	1    16.0
O2_p	    	0	2	0	0	0	0	0	0	0	0	0	0	0   0	0	0   -1   32.0
OH_p		    1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0	-1   17.008
OH_m		    1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0	1    17.008
H2O_p		    2	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0	-1   18.016
He_p            0	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0	-1   4.003
HeH_p           1	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0	-1   5.011
C_p				0	0	1	0	0	0	0	0	0	0	0	0   0	0	0   0	-1   12.011
C_m				0	0	1	0	0	0	0	0	0	0	0	0   0	0	0   0	1    12.011
Na_p			0	0	0	0	0	0	0	1	0	0	0	0   0	0	0   0	-1   22.99
Fe_p            0	0	0	0	0	0	0	0	0	0	1   0	0   0	0	0   -1   55.845
Mg_p            0	0	0	0	0	0	0	0	0	0	0   0   0   0	1	0   -1   24.305
Ca_p            0	0	0	0	0	0	0	0	0	0	0   0   0   0	0	1   -1   40.078
K_p             0	0	0	0	0	0	0	0	1	0	0   0	0   0	0	0   -1   39.0983
CN_p			0	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   -1   26.018
CN_m		    0	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0    1   26.018
CH_p            1	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   -1   13.019
CH2_p           2	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   -1   14.027
CO2_p		    0	2	1	0	0	0	0	0	0	0	0	0	0   0	0	0   -1   44.011
CO2H_p          1	2	1	0	0	0	0	0	0	0	0	0	0   0	0	0   -1   45.019
C6H6            6   0   6   0   0	0	0	0	0	0	0	0	0   0	0	0   0    78.114
C6H5            5   0   6   0   0	0	0	0	0	0	0	0	0   0	0	0   0    77.106
CH3C2H          4	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0    40.065
HCS             1	0	1	0	0	1	0	0	0	0	0	0	0   0	0	0   0    45.079
CH2S            2	0	1	0	0	1	0	0	0	0	0	0	0   0	0	0   0    46.087
CH3S            3	0	1	0	0	1	0	0	0	0	0	0	0   0	0	0   0    47.095
CH3SH           4	0	1	0	0	1	0	0	0	0	0	0	0   0	0	0   0    48.103
CH3SCH3         6   0   2   0   0   1  	0	0	0	0	0	0	0   0	0	0   0    62.13     
CH3SCH2         5   0   2   0   0   1  	0	0	0	0	0	0	0   0	0	0   0    61.122 
CH3SO           3	1	1	0	0	1	0	0	0	0	0	0	0   0	0	0   0    63.095
CH3S2CH3        6   0   2   0   0   2  	0	0	0	0	0	0	0   0	0	0   0    94.19
soot            2	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0    26.038		
